"time","year","predicted","lower_95","upper_95"
"2024-01",2024,3.2812,3.2276,3.3347
"2024-02",2024.08333333333,3.2858,3.2322,3.3395
"2024-03",2024.16666666667,3.2905,3.2368,3.3442
"2024-04",2024.25,3.2952,3.2414,3.3489
"2024-05",2024.33333333333,3.2999,3.246,3.3537
"2024-06",2024.41666666667,3.3045,3.2507,3.3584
"2024-07",2024.5,3.3092,3.2553,3.3632
"2024-08",2024.58333333333,3.3139,3.2599,3.3679
"2024-09",2024.66666666667,3.3186,3.2645,3.3727
"2024-10",2024.75,3.3233,3.2691,3.3774
"2024-11",2024.83333333333,3.3279,3.2737,3.3822
"2024-12",2024.91666666667,3.3326,3.2783,3.3869
