"lambda","time","x","y_pred"
0.99,"2024-01",2024,3.27655149219208
0.99,"2024-02",2024.08333333333,3.28109590667282
0.99,"2024-03",2024.16666666667,3.28564032115355
0.99,"2024-04",2024.25,3.29018473563428
0.99,"2024-05",2024.33333333333,3.29472915011502
0.99,"2024-06",2024.41666666667,3.29927356459575
0.99,"2024-07",2024.5,3.30381797907648
0.99,"2024-08",2024.58333333333,3.30836239355722
0.99,"2024-09",2024.66666666667,3.31290680803795
0.99,"2024-10",2024.75,3.31745122251868
0.99,"2024-11",2024.83333333333,3.32199563699942
0.99,"2024-12",2024.91666666667,3.32654005148015
0.9,"2024-01",2024,3.23765899185673
0.9,"2024-02",2024.08333333333,3.23995315031819
0.9,"2024-03",2024.16666666667,3.24224730877965
0.9,"2024-04",2024.25,3.24454146724111
0.9,"2024-05",2024.33333333333,3.24683562570256
0.9,"2024-06",2024.41666666667,3.24912978416403
0.9,"2024-07",2024.5,3.25142394262548
0.9,"2024-08",2024.58333333333,3.25371810108693
0.9,"2024-09",2024.66666666667,3.2560122595484
0.9,"2024-10",2024.75,3.25830641800985
0.9,"2024-11",2024.83333333333,3.2606005764713
0.9,"2024-12",2024.91666666667,3.26289473493277
0.8,"2024-01",2024,3.2278685385827
0.8,"2024-02",2024.08333333333,3.22888780083789
0.8,"2024-03",2024.16666666667,3.22990706309308
0.8,"2024-04",2024.25,3.23092632534826
0.8,"2024-05",2024.33333333333,3.23194558760345
0.8,"2024-06",2024.41666666667,3.23296484985864
0.8,"2024-07",2024.5,3.23398411211383
0.8,"2024-08",2024.58333333333,3.23500337436902
0.8,"2024-09",2024.66666666667,3.23602263662421
0.8,"2024-10",2024.75,3.2370418988794
0.8,"2024-11",2024.83333333333,3.23806116113458
0.8,"2024-12",2024.91666666667,3.23908042338978
0.7,"2024-01",2024,3.22688891249709
0.7,"2024-02",2024.08333333333,3.22766982765703
0.7,"2024-03",2024.16666666667,3.22845074281698
0.7,"2024-04",2024.25,3.22923165797692
0.7,"2024-05",2024.33333333333,3.23001257313687
0.7,"2024-06",2024.41666666667,3.23079348829682
0.7,"2024-07",2024.5,3.23157440345676
0.7,"2024-08",2024.58333333333,3.2323553186167
0.7,"2024-09",2024.66666666667,3.23313623377665
0.7,"2024-10",2024.75,3.2339171489366
0.7,"2024-11",2024.83333333333,3.23469806409654
0.7,"2024-12",2024.91666666667,3.23547897925649
0.6,"2024-01",2024,3.22635531704873
0.6,"2024-02",2024.08333333333,3.22695439587308
0.6,"2024-03",2024.16666666667,3.22755347469744
0.6,"2024-04",2024.25,3.2281525535218
0.6,"2024-05",2024.33333333333,3.22875163234615
0.6,"2024-06",2024.41666666667,3.22935071117051
0.6,"2024-07",2024.5,3.22994978999486
0.6,"2024-08",2024.58333333333,3.23054886881922
0.6,"2024-09",2024.66666666667,3.23114794764357
0.6,"2024-10",2024.75,3.23174702646793
0.6,"2024-11",2024.83333333333,3.23234610529228
0.6,"2024-12",2024.91666666667,3.23294518411664
