"horizon","date","forecast","lower","upper","pred_se"
1,2011-01-01,101.28,65.8,155.88,0.22
2,2011-02-01,147.23,92.82,233.51,0.235348592517567
3,2011-03-01,156.92,98.52,249.94,0.237482980072257
4,2011-04-01,142.55,89.45,227.18,0.23778960268478
5,2011-05-01,355.31,222.93,566.31,0.237833846327506
6,2011-06-01,538.02,337.56,857.53,0.237840234429481
7,2011-07-01,611.21,383.47,974.18,0.237841156857229
8,2011-08-01,631.89,396.45,1007.15,0.237841290055501
9,2011-09-01,630.11,395.34,1004.31,0.237841309289325
10,2011-10-01,508.16,318.82,809.93,0.237841312066689
11,2011-11-01,375.01,235.29,597.72,0.23784131246774
12,2011-12-01,280.49,175.98,447.06,0.237841312525652
