"tdate","Ph_obs","Ph_sim"
2013-01-30 02:00:00,56,56
2013-01-30 03:00:00,54,54
2013-01-30 04:00:00,55,55
2013-01-30 05:00:00,54,54
2013-01-30 06:00:00,54,54
2013-01-30 07:00:00,54,52.7364274764811
2013-01-30 08:00:00,53,52.3696297438344
2013-01-30 09:00:00,54,52.2832558037865
2013-01-30 10:00:00,53,52.1220668988358
2013-01-30 11:00:00,52,49.9695696570267
2013-01-30 12:00:00,50,48.4389897583637
2013-01-30 13:00:00,50,47.5240106110456
2013-01-30 14:00:00,48,45.03238549168
2013-01-30 15:00:00,17,15.1368257400341
2013-01-30 16:00:00,27,20.2640770014438
2013-01-30 17:00:00,26,25.4209790080151
2013-01-30 18:00:00,47,47.4050734075065
2013-01-30 19:00:00,53,54.0225590927791
2013-01-30 20:00:00,58,56.8298339630748
2013-01-30 21:00:00,61,59.3961017730967
2013-01-30 22:00:00,64,62.395612922177
2013-01-30 23:00:00,67,64.6898183930814
2013-01-31,69,66.2125441482184
2013-01-31 01:00:00,71,67.5997570880432
2013-01-31 02:00:00,71,68.6508857631785
2013-01-31 03:00:00,73,69.7435048611304
2013-01-31 04:00:00,72,70.8745028497772
2013-01-31 05:00:00,73,70.7570308618043
2013-01-31 06:00:00,74,72.5256587141576
2013-01-31 07:00:00,73,73.0337347738025
2013-01-31 08:00:00,74,74.519946530163
2013-01-31 09:00:00,75,75.693877643644
2013-01-31 10:00:00,75,74.7988476128876
2013-01-31 11:00:00,69,68.1217053352167
2013-01-31 12:00:00,72,70.6092250731162
2013-01-31 13:00:00,73,72.290604303569
2013-01-31 14:00:00,71,65.0095280912645
2013-01-31 15:00:00,35,35.9395864959722
2013-01-31 16:00:00,37,38.5089251254876
2013-01-31 17:00:00,50,45.9536842144663
2013-01-31 18:00:00,62,60.0729757697098
2013-01-31 19:00:00,66,63.7172835512902
2013-01-31 20:00:00,67,64.3635243712334
2013-01-31 21:00:00,69,66.1377757126257
2013-01-31 22:00:00,70,67.6741403729477
2013-01-31 23:00:00,71,69.4042764543697
2013-02-01,72,70.0997264886193
2013-02-01 01:00:00,72,70.6320550872577
2013-02-01 02:00:00,73,71.1258034378197
2013-02-01 03:00:00,73,72.2515749759998
2013-02-01 04:00:00,73,72.6383441487092
2013-02-01 05:00:00,74,73.561984499495
2013-02-01 06:00:00,73,73.4700914997436
2013-02-01 07:00:00,74,73.7026746188735
2013-02-01 08:00:00,73,73.9575491893542
2013-02-01 09:00:00,75,75.5850865604822
2013-02-01 10:00:00,75,76.4059360728514
2013-02-01 11:00:00,75,76.701478611126
2013-02-01 12:00:00,75,77.1199186378198
2013-02-01 13:00:00,75,76.9607487481305
2013-02-01 14:00:00,75,75.2451873137237
2013-02-01 15:00:00,75,74.2823897510441
2013-02-01 16:00:00,72,72.3174717340182
2013-02-01 17:00:00,72,71.6883259470757
2013-02-01 18:00:00,73,73.0401434946792
2013-02-01 19:00:00,74,74.857715037895
2013-02-01 20:00:00,76,77.6982689233132
2013-02-01 21:00:00,77,80.4452297456268
2013-02-01 22:00:00,79,84.8253343139555
